ind,season,town,prop.fruit,blp,cfp,cap,gsp,lcp,mtp,mbp,mcp,mrp,mlp,oap,pwp,qpp,spp,srp,vmp
UW,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW,Fall,W,0.84,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0.78,0
300,Fall,E,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
349,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Fall,W,0.15,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0,0
454,Fall,W,0.69,0,0,0,0.25,0,0,0.01,0,0,0,0,0,0,0.01,0.42,0
21,Fall,W,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.49,0
606,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Fall,E,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
210,Fall,E,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
490,Fall,E,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
Scuteless,Fall,E,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
589,Fall,E,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
4D2,Fall,S,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
349,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Fall,E,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
UW,Fall,W,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
UE,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Fall,E,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
UE,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Winter,E,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Winter,S,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0
300,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Winter,S,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
UW,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U,Winter,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Winter,W,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
491,Winter,S,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Scuteless,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Winter,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
